antecedente	consequente	suporte	confianca	lift	tamanho
artefato=controle_sinal	acao=sinal & avaliacao=C	0.05114401076716016	0.7169811320754716	14.018867924528301	3
artefato=outro & historico_erros=zero	avaliacao=C & fase=inicio	0.07267833109017496	0.8571428571428571	2.8687258687258685	4
artefato=outro & fase=inicio	avaliacao=C & historico_erros=zero	0.07267833109017496	0.7826086956521738	2.5392063793430792	4
artefato=outro & consecutivos=zero	avaliacao=C & fase=inicio	0.07671601615074024	0.7402597402597402	2.477535977535977	4
acao=categoria & historico_erros=zero	avaliacao=C & fase=inicio	0.09959623149394348	0.7115384615384617	2.381410256410257	4
artefato=outro & consecutivos=zero	avaliacao=C & historico_erros=zero	0.07537012113055182	0.7272727272727273	2.3596665343390235	4
consecutivos=zero & feedback_previo=1	acao=posicionamento & avaliacao=C	0.06729475100942127	0.7352941176470589	2.2763480392156867	4
acao=posicionamento & fase=intermediaria2	artefato=diagrama & avaliacao=C	0.06460296096904442	0.7741935483870968	2.187170366736171	4
artefato=diagrama & feedback_previo=1	acao=posicionamento & avaliacao=C	0.10363391655450875	0.706422018348624	2.186964831804282	4
acao=posicionamento & feedback_previo=1	artefato=diagrama & avaliacao=C	0.10363391655450875	0.7623762376237624	2.1537853405112375	4
consecutivos=zero & feedback_previo=1	artefato=diagrama & avaliacao=C	0.06729475100942127	0.7352941176470589	2.0772757772310446	4
acao=posicionamento & categoria=Composição	artefato=diagrama & avaliacao=C	0.06729475100942127	0.7352941176470589	2.0772757772310446	4
acao=posicionamento & consecutivos=zero	artefato=diagrama & avaliacao=C	0.2274562584118439	0.7253218884120173	2.0491032817115165	4
acao=posicionamento & historico_erros=1a2	artefato=diagrama & avaliacao=C	0.126514131897712	0.7067669172932332	1.9966837245204268	4
acao=posicionamento & fase=intermediaria1	artefato=diagrama & avaliacao=C	0.15074024226110364	0.7044025157232704	1.990004065332281	4
acao=posicionamento & ajuda_previa=0	artefato=diagrama & avaliacao=C	0.2503364737550471	0.7018867924528301	1.9828969079560943	4
acao=posicionamento & historico_erros=zero	artefato=diagrama & avaliacao=C	0.11709286675639301	0.7016129032258065	1.9821231448546548	4
artefato=outro & historico_erros=zero	avaliacao=C & consecutivos=zero	0.07537012113055182	0.8888888888888888	1.6978006283918878	4
artefato=outro	avaliacao=C & consecutivos=zero & feedback_previo=0	0.0901749663526245	0.752808988764045	1.684750236902667	4
fase=intermediaria1 & historico_erros=zero	avaliacao=C & consecutivos=zero	0.0740242261103634	0.8461538461538463	1.6161755981807397	4
artefato=outro & historico_erros=zero	avaliacao=C & feedback_previo=0	0.07537012113055182	0.8888888888888888	1.5800106326422114	4
artefato=outro & fase=inicio	avaliacao=C & consecutivos=zero	0.07671601615074024	0.826086956521739	1.5778473231250696	4
artefato=outro	ajuda_previa=0 & avaliacao=C & consecutivos=zero	0.0901749663526245	0.752808988764045	1.575597404652635	4
categoria=Composição & historico_erros=zero	avaliacao=C & consecutivos=zero	0.08075370121130551	0.8108108108108107	1.5486694921142221	4
