id_protocolo	n_acoes_avaliadas	acertos	erros	taxa_erro	max_erros_consecutivos	itens
PR0001	4	4	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | ajuda=sim | categoria=Composição | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0002	8	6	2	0.25	1	acao_presente=categoria | acao_presente=posicionamento | acao_presente=sinal | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0003	6	4	2	0.3333333333333333	1	acao_presente=categoria | acao_presente=posicionamento | ajuda=sim | categoria=Composição | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0004	4	4	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | acao_presente=sinal | ajuda=nao | categoria=Transformação | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0005	4	4	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | acao_presente=sinal | ajuda=nao | categoria=Comparação | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0006	6	5	1	0.16666666666666666	1	acao_presente=categoria | acao_presente=posicionamento | acao_presente=sinal | ajuda=nao | categoria=Transformação | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=nao | taxa_erro=baixa | tem_erro=sim
PR0007	8	2	6	0.75	6	acao_presente=categoria | acao_presente=outra | acao_presente=posicionamento | acao_presente=sinal | ajuda=sim | categoria=Transformação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=sim | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0008	7	5	2	0.2857142857142857	1	acao_presente=categoria | acao_presente=posicionamento | acao_presente=sinal | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0009	12	8	4	0.3333333333333333	1	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=sim | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0010	6	6	0	0.0	0	acao_presente=categoria | acao_presente=outra | acao_presente=posicionamento | acao_presente=sinal | ajuda=nao | categoria=Transformação | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
