ordem_global	id_protocolo	sujeito	problema_quadro	categoria	tarefa	avaliacao_ce	task_family	artifact_family	fase_protocolo	historico_erros	consecutivos_bin	ultima_avaliacao	feedback_previo	ajuda_previa	repete_familia	posicao_rotulada	erros_anteriores	acertos_anteriores	erros_consecutivos_antes	pred_j48_cv	pred_part_cv
5	PR0001	S(17-07-10)	01	Composição	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	E	C
11	PR0001	S(17-07-10)	01	Composição	Associar uma parte ao modelo	C	posicionamento	diagrama	inicio	zero	zero	C	0	0	0	2	0	1	0	E	C
15	PR0001	S(17-07-10)	01	Composição	Associar uma parte ao modelo	C	posicionamento	diagrama	inicio	zero	zero	C	0	0	1	3	0	2	0	C	C
17	PR0001	S(17-07-10)	01	Composição	Associar o todo ao modelo	C	posicionamento	diagrama	intermediaria1	zero	zero	C	1	0	1	4	0	3	0	C	C
23	PR0002	S(17-07-10)	02	Comparação	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	C	C
28	PR0002	S(17-07-10)	02	Comparação	Associar incorretamente uma parte ao modelo	E	posicionamento	diagrama	inicio	zero	zero	C	0	0	0	2	0	1	0	E	C
30	PR0002	S(17-07-10)	02	Comparação	Associar uma parte ao modelo	C	posicionamento	diagrama	inicio	1a2	um	E	1	1	1	3	1	1	1	C	C
35	PR0002	S(17-07-10)	02	Comparação	Associar uma medida da comparação ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	zero	C	0	0	1	4	1	2	0	C	C
37	PR0002	S(17-07-10)	02	Comparação	Definir o sinal do número relativo	C	sinal	controle_sinal	intermediaria1	1a2	zero	C	0	0	0	5	1	3	0	E	C
39	PR0002	S(17-07-10)	02	Comparação	Associar incorretamente uma parte ao modelo	E	posicionamento	diagrama	intermediaria1	1a2	zero	C	0	0	0	6	1	4	0	E	C
42	PR0002	S(17-07-10)	02	Comparação	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	um	E	0	0	1	7	2	4	1	E	C
44	PR0002	S(17-07-10)	02	Comparação	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria2	1a2	zero	C	1	0	1	8	2	5	0	C	C
50	PR0003	S(17-07-10)	03	Composição	Identificar o tipo de problema	E	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	C	C
54	PR0003	S(17-07-10)	03	Composição	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	1a2	um	E	0	0	1	2	1	0	1	E	C
59	PR0003	S(17-07-10)	03	Composição	Associar incorretamente uma parte ao modelo	E	posicionamento	diagrama	inicio	1a2	zero	C	0	0	0	3	1	1	0	E	E
63	PR0003	S(17-07-10)	03	Composição	Associar o todo ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	um	E	0	0	1	4	2	1	1	E	C
65	PR0003	S(17-07-10)	03	Composição	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	zero	C	0	0	1	5	2	2	0	C	C
67	PR0003	S(17-07-10)	03	Composição	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	zero	C	1	0	1	6	2	3	0	C	C
73	PR0004	S(17-07-10)	04	Transformação	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	C	E
78	PR0004	S(17-07-10)	04	Transformação	Associar uma parte ao modelo	C	posicionamento	diagrama	inicio	zero	zero	C	0	0	0	2	0	1	0	E	E
82	PR0004	S(17-07-10)	04	Transformação	Definir o sinal do número relativo	C	sinal	controle_sinal	inicio	zero	zero	C	0	0	0	3	0	2	0	C	C
84	PR0004	S(17-07-10)	04	Transformação	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria1	zero	zero	C	1	0	0	4	0	3	0	C	C
90	PR0005	S(17-07-10)	05	Comparação	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	E	C
98	PR0005	S(17-07-10)	05	Comparação	Definir o sinal do número relativo	C	sinal	controle_sinal	inicio	zero	zero	C	0	0	0	2	0	1	0	E	C
101	PR0005	S(17-07-10)	05	Comparação	Associar uma medida da comparação ao modelo	C	posicionamento	diagrama	inicio	zero	zero	C	0	0	0	3	0	2	0	E	E
104	PR0005	S(17-07-10)	05	Comparação	Associar uma medida da comparação ao modelo	C	posicionamento	diagrama	intermediaria1	zero	zero	C	1	0	1	4	0	3	0	C	C
110	PR0006	S(17-07-10)	06	Transformação	Identificar o tipo de problema	E	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	E	C
115	PR0006	S(17-07-10)	06	Transformação	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	1a2	um	E	0	0	1	2	1	0	1	E	C
121	PR0006	S(17-07-10)	06	Transformação	Associar uma parte ao modelo	C	posicionamento	diagrama	inicio	1a2	zero	C	0	0	0	3	1	1	0	E	C
122	PR0006	S(17-07-10)	06	Transformação	Associar o número relativo ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	zero	C	0	0	1	4	1	2	0	C	C
123	PR0006	S(17-07-10)	06	Transformação	Definir o sinal do número relativo	C	sinal	controle_sinal	intermediaria1	1a2	zero	C	0	0	0	5	1	3	0	E	C
124	PR0006	S(17-07-10)	06	Transformação	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	zero	C	0	0	0	6	1	4	0	E	C
130	PR0007	S(17-07-10)	07	Transformação	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	C	E
138	PR0007	S(17-07-10)	07	Transformação	Definir o sinal do número relativo	E	sinal	controle_sinal	inicio	zero	zero	C	0	0	0	2	0	1	0	C	C
