@relation protocolos_gerard

@attribute acao_presente_ajuda {'f','t'}
@attribute acao_presente_categoria {'f','t'}
@attribute acao_presente_confirmacao {'f','t'}
@attribute acao_presente_duvida {'f','t'}
@attribute acao_presente_leitura {'f','t'}
@attribute acao_presente_outra {'f','t'}
@attribute acao_presente_posicionamento {'f','t'}
@attribute acao_presente_resultado {'f','t'}
@attribute acao_presente_simbolo_categoria {'f','t'}
@attribute acao_presente_sinal {'f','t'}
@attribute ajuda_nao {'f','t'}
@attribute ajuda_sim {'f','t'}
@attribute categoria_Categoria_não_determinada {'f','t'}
@attribute categoria_Comparação {'f','t'}
@attribute categoria_Composição {'f','t'}
@attribute categoria_Divisão_por_cotas {'f','t'}
@attribute categoria_Divisão_por_partes {'f','t'}
@attribute categoria_Multiplicação {'f','t'}
@attribute categoria_Transformação {'f','t'}
@attribute correcao_apos_erro_nao {'f','t'}
@attribute correcao_apos_erro_sim {'f','t'}
@attribute erro_categoria_nao {'f','t'}
@attribute erro_categoria_sim {'f','t'}
@attribute erro_posicionamento_nao {'f','t'}
@attribute erro_posicionamento_sim {'f','t'}
@attribute erro_resultado_nao {'f','t'}
@attribute erro_resultado_sim {'f','t'}
@attribute erro_simbolo_categoria_nao {'f','t'}
@attribute erro_simbolo_categoria_sim {'f','t'}
@attribute erro_sinal_nao {'f','t'}
@attribute erro_sinal_sim {'f','t'}
@attribute erros_consecutivos_0 {'f','t'}
@attribute erros_consecutivos_1 {'f','t'}
@attribute erros_consecutivos_2mais {'f','t'}
@attribute feedback_nao {'f','t'}
@attribute feedback_sim {'f','t'}
@attribute taxa_erro_alta {'f','t'}
@attribute taxa_erro_baixa {'f','t'}
@attribute taxa_erro_media {'f','t'}
@attribute tem_erro_nao {'f','t'}
@attribute tem_erro_sim {'f','t'}

@data
'f','t','f','f','f','f','t','f','f','f','f','t','f','f','t','f','f','f','f','t','f','t','f','t','f','t','f','t','f','t','f','t','f','f','f','t','f','t','f','t','f'
'f','t','f','f','f','f','t','f','f','t','f','t','f','t','f','f','f','f','f','f','t','t','f','f','t','t','f','t','f','t','f','f','t','f','f','t','f','f','t','f','t'
'f','t','f','f','f','f','t','f','f','f','f','t','f','f','t','f','f','f','f','f','t','f','t','f','t','t','f','t','f','t','f','f','t','f','f','t','f','f','t','f','t'
'f','t','f','f','f','f','t','f','f','t','t','f','f','f','f','f','f','f','t','t','f','t','f','t','f','t','f','t','f','t','f','t','f','f','f','t','f','t','f','t','f'
'f','t','f','f','f','f','t','f','f','t','t','f','f','t','f','f','f','f','f','t','f','t','f','t','f','t','f','t','f','t','f','t','f','f','f','t','f','t','f','t','f'
'f','t','f','f','f','f','t','f','f','t','t','f','f','f','f','f','f','f','t','f','t','f','t','t','f','t','f','t','f','t','f','f','t','f','t','f','f','t','f','f','t'
'f','t','f','f','f','t','t','f','f','t','f','t','f','f','f','f','f','f','t','f','t','t','f','f','t','t','f','t','f','f','t','f','f','t','f','t','t','f','f','f','t'
'f','t','f','f','f','f','t','f','f','t','f','t','f','t','f','f','f','f','f','f','t','t','f','f','t','t','f','t','f','t','f','f','t','f','f','t','f','f','t','f','t'
'f','t','f','f','f','f','t','f','t','t','f','t','f','t','f','f','f','f','f','f','t','t','f','f','t','t','f','f','t','t','f','f','t','f','f','t','f','f','t','f','t'
'f','t','f','f','f','t','t','f','f','t','t','f','f','f','f','f','f','f','t','t','f','t','f','t','f','t','f','t','f','t','f','t','f','f','f','t','f','t','f','t','f'
'f','t','f','f','f','f','t','f','t','t','t','f','f','t','f','f','f','f','f','t','f','t','f','t','f','t','f','t','f','t','f','t','f','f','f','t','f','t','f','t','f'
'f','t','f','f','f','t','t','f','f','f','f','t','f','f','t','f','f','f','f','f','t','t','f','f','t','t','f','t','f','t','f','f','t','f','f','t','f','t','f','f','t'
'f','t','f','f','f','t','t','f','f','t','f','t','f','f','f','f','f','f','t','f','t','f','t','t','f','t','f','t','f','t','f','f','f','t','f','t','f','f','t','f','t'
'f','t','f','f','f','t','t','f','f','f','t','f','f','f','t','f','f','f','f','f','t','f','t','t','f','t','f','t','f','t','f','f','t','f','f','t','f','f','t','f','t'
'f','t','f','f','f','t','t','f','f','t','f','t','f','f','f','f','f','f','t','f','t','t','f','f','t','t','f','t','f','t','f','f','f','t','f','t','t','f','f','f','t'
'f','t','f','f','f','f','t','t','f','f','f','t','f','f','f','f','f','f','t','f','t','f','t','t','f','t','f','t','f','t','f','f','f','t','f','t','t','f','f','f','t'
'f','t','f','f','f','t','t','t','t','t','f','t','f','f','f','f','f','f','t','f','t','f','t','t','f','t','f','f','t','f','t','f','f','t','f','t','t','f','f','f','t'
'f','f','f','f','f','t','t','f','t','f','t','f','f','f','f','f','f','f','t','f','t','t','f','t','f','t','f','f','t','t','f','f','t','f','f','t','f','f','t','f','t'
'f','t','f','f','f','f','t','f','t','f','t','f','f','f','t','f','f','f','f','t','f','t','f','f','t','t','f','t','f','t','f','f','t','f','f','t','f','f','t','f','t'
'f','t','f','f','f','t','t','f','f','t','f','t','f','t','f','f','f','f','f','f','t','t','f','f','t','t','f','t','f','f','t','f','f','t','f','t','t','f','f','f','t'
